seed,arm,verdict,order,n_dimers_end
0,A,FALSIFIED,3.35|2.9|2.0|2.45,49
0,B,FALSIFIED,3.35|2.9|2.0|2.45,2223
0,C,INCONCLUSIVE,,49
0,D,INCONCLUSIVE,,2223
0,A_rand,CONFIRMED,3.35|2.9|2.45|2.0,49
0,C_rand,INCONCLUSIVE,,49
1,A,CONFIRMED,3.35|2.9|2.45|2.0,53
1,B,CONFIRMED,3.35|2.9|2.45|2.0,2294
1,C,INCONCLUSIVE,,53
1,D,INCONCLUSIVE,,2294
1,A_rand,CONFIRMED,3.35|2.9|2.45|2.0,53
1,C_rand,INCONCLUSIVE,,53
2,A,CONFIRMED,3.35|2.9|2.45,50
2,B,CONFIRMED,3.35|2.9|2.45,2198
2,C,INCONCLUSIVE,,50
2,D,INCONCLUSIVE,,2198
2,A_rand,CONFIRMED,3.35|2.9|2.45|2.0,50
2,C_rand,INCONCLUSIVE,,50
3,A,CONFIRMED,3.35|2.9|2.45|2.0,50
3,B,CONFIRMED,3.35|2.9|2.45|2.0,2219
3,C,INCONCLUSIVE,,50
3,D,INCONCLUSIVE,,2219
3,A_rand,CONFIRMED,3.35|2.9|2.45|2.0,50
3,C_rand,INCONCLUSIVE,,50
